Sample_Date,Raw_Concentration,Post_Treatment_Conc,Receiving_Water_Conc,Infection_Risk_Median,Annual_Risk_Median,Annual_Risk_5th,Annual_Risk_95th,Population_Impact,Compliance_Status
6/16/2024,428,0.428,0.00428,0.0001497829739284251,0.0029914006684909067,0.0011769198730422427,0.007357518674534057,29,NON-COMPLIANT
6/23/2024,866,0.866,0.00866,0.0003024639272731222,0.006031928008402521,0.002378116074632392,0.014762014456266596,60,NON-COMPLIANT
6/30/2024,1463,1.463,0.01463,0.0005095985678605364,0.01014278066324703,0.004010139168088184,0.0246567783014196,101,NON-COMPLIANT
7/7/2024,533,0.533,0.0053300000000000005,0.00018643985511851424,0.0037222001187003917,0.0014651743477584024,0.00914396225677047,37,NON-COMPLIANT
7/14/2024,1809,1.809,0.01809,0.0006291375691965806,0.012507829835511575,0.004953255554796427,0.030289863024949567,125,NON-COMPLIANT
7/21/2024,828,0.828,0.00828,0.0002892416250984686,0.005768964517629205,0.0022740314701775624,0.014124539112375899,57,NON-COMPLIANT
7/28/2024,1060,1.06,0.0106,0.0003698964874048194,0.007371990905299219,0.0029091148635221,0.018002096339358873,73,NON-COMPLIANT
8/4/2024,827,0.827,0.00827,0.00028889360836870104,0.005762042311881266,0.0022712920716790874,0.014107750912068139,57,NON-COMPLIANT
8/11/2024,5894,5.894,0.05894,0.0020130390564293554,0.03950005963052455,0.015938088346526665,0.09167173042640737,395,NON-COMPLIANT
8/18/2024,1325,1.325,0.01325,0.00046181727200667044,0.009195935216800177,0.003633421566085632,0.022389452169593635,91,NON-COMPLIANT
8/25/2024,574,0.574,0.0057399999999999994,0.00020074401365016703,0.004007232837085373,0.001577680051903635,0.009839564047936027,40,NON-COMPLIANT
9/1/2024,2586,2.586,0.025859999999999998,0.0008962348584681812,0.017772899710611745,0.007063874671961818,0.042677212906655805,177,NON-COMPLIANT
9/8/2024,504,0.504,0.00504,0.00017631906585247048,0.003520480762788103,0.0013855799173488781,0.00865128691892528,35,NON-COMPLIANT
9/15/2024,1583,1.583,0.01583,0.0005510993004777531,0.01096447138707185,0.004337459299475078,0.026618773272222947,109,NON-COMPLIANT
9/22/2024,279,0.279,0.0027900000000000004,9.770506732886819e-05,0.0019522886162016695,0.0007675515322585259,0.004809992715419308,19,NON-COMPLIANT
9/29/2024,462,0.462,0.00462,0.0001616566470720171,0.0032281725085285262,0.0012702799129577114,0.007936779075522291,32,NON-COMPLIANT
10/6/2024,1567,1.567,0.01567,0.0005455684574586228,0.010855001301426304,0.004293830599702769,0.026357687093236472,108,NON-COMPLIANT
10/13/2024,2418,2.418,0.02418,0.0008386411793314119,0.016639862989957566,0.00660837841771535,0.04002910046835095,166,NON-COMPLIANT
10/20/2024,1536,1.536,0.01536,0.0005348501840298225,0.010642825410115853,0.004209287751984148,0.02585138394836513,106,NON-COMPLIANT
10/27/2024,1221,1.221,0.01221,0.0004257688965890738,0.008481022722292786,0.003349306522705087,0.020672888701098287,84,NON-COMPLIANT
11/3/2024,1052,1.052,0.01052,0.00036711809995809697,0.007316810933983509,0.0028872305771096064,0.017868958599704075,73,NON-COMPLIANT
11/10/2024,410,0.41,0.0040999999999999995,0.0001434954271443134,0.002865999631049887,0.0011274860194478043,0.007050543186371693,28,NON-COMPLIANT
11/17/2024,753,0.753,0.00753,0.0002631316254886884,0.005249497988022156,0.0020685296098114482,0.012863636485336859,52,NON-COMPLIANT
11/24/2024,926,0.926,0.009260000000000001,0.000323331993269671,0.00644681506729744,0.0025424104547854378,0.01576666853656913,64,NON-COMPLIANT
12/1/2024,3120,3.12,0.031200000000000002,0.0010787293085475214,0.02135491582660437,0.00850858669950813,0.05098640619412128,213,NON-COMPLIANT
12/8/2024,1763,1.763,0.01763,0.0006132665106146629,0.012194134261365286,0.0048279859595066815,0.029545176601811895,121,NON-COMPLIANT
12/15/2024,326,0.326,0.0032600000000000003,0.00011413994199532818,0.0022803252282634356,0.0008967218968362723,0.005615161832464437,22,NON-COMPLIANT
12/22/2024,1735,1.735,0.01735,0.000603602656821578,0.012003079325010102,0.00475171752678143,0.02909125884275663,120,NON-COMPLIANT
12/29/2024,984,0.984,0.00984,0.00034349369674607777,0.006847502364839386,0.0027011704990006994,0.01673564580158649,68,NON-COMPLIANT
